"","gene_name","module","color","kME_grey","kME_oligo1","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8"
"PLAG1","PLAG1","grey","grey",0.102255827009193,0.0879054838522542,0.0631143544186496,0.113940594429395,0.0804126998832592,0.0791645936693062,0.117719334078823,0.0543028198406694,0.00282814224630468
"IMPAD1","IMPAD1","grey","grey",0.152133814096966,0.129880990800094,0.148718323724802,0.135977165841176,0.110115035416198,0.125306113785265,0.114721030861735,0.113366775712959,0.0273038865962384
"UBXN2B","UBXN2B","grey","grey",0.138178925112935,0.12185839217262,0.087433826336584,0.132734588667294,0.10128089761787,0.122481162306071,0.118357299615451,0.111913908902827,0.0152254647003851
"NSMAF","NSMAF","grey","grey",0.145246404669903,0.127414144192221,0.0866617339620055,0.139517084579167,0.108962086689871,0.12159761821346,0.125711425273685,0.107701572454559,0.0365088578663968
"RAB2A","RAB2A","grey","grey",0.240458866088382,0.223525656068811,0.159099265928943,0.226305892074745,0.180715892545966,0.21450142512189,0.195515198282903,0.199186023401454,0.0445417712231386
"CHD7","CHD7","grey","grey",0.3331388964672,0.303781397750611,0.201191977687583,0.318961241058571,0.25138259799365,0.332411467566157,0.29529101171565,0.32613023516898,0.0420948313230722
"AC022182.1","AC022182.1","oligo7","green",0.100343513664478,0.121125479390477,0.0999712633419288,0.0596200859766277,0.0740981709966053,0.132554806346804,0.099369984884951,0.183528025000012,0.0315119729464322
"CLVS1","CLVS1","oligo7","green",0.110340711518815,0.128674404086491,0.103879895054115,0.0863081909753674,0.0889335514008307,0.127925411955755,0.114179734612137,0.16708944805583,0.0261921769823756
"ASPH","ASPH","grey","grey",0.137020661571079,0.124504137422919,0.0927201817960801,0.117141316139959,0.0925006652537505,0.124840398953237,0.0832479515299143,0.121009749084369,0.0479798657836196
"YTHDF3","YTHDF3","grey","grey",0.158446696102803,0.141479023821949,0.121138373150967,0.142168714702349,0.111114192454954,0.133197452344613,0.121670190686466,0.116615486149039,0.0422362013024898
"CYP7B1","CYP7B1","grey","grey",0.212897085971183,0.220484471301383,0.14116860918743,0.187149842922314,0.16753441532099,0.214470873455199,0.206190445661263,0.207069233658665,0.0471917101519424
"LINC01299","LINC01299","grey","grey",0.0578712538773049,0.060845483117172,0.0443516746377023,0.0365797042395447,0.0470316092705581,0.0721849523239882,0.0339421962493213,0.0871660209116357,0.0106896877689135
"ARMC1","ARMC1","grey","grey",0.135465491298031,0.130546282334605,0.130371335049406,0.101514114378368,0.08732599632941,0.13123255827696,0.0877937150672546,0.137785012177165,0.0289671096286567
"MTFR1","MTFR1","grey","grey",0.173183062126181,0.149096219243933,0.106363367909418,0.158010192269209,0.107788730945027,0.165259519351698,0.112970669969181,0.154527293583608,0.0250139662367816
"PDE7A","PDE7A","grey","grey",0.200322404631313,0.18051032570308,0.0996214305234477,0.176110894384207,0.127994753876853,0.209379610838773,0.112312398376644,0.198709697813475,0.0350476009001127
"ADHFE1","ADHFE1","grey","grey",0.11914045331972,0.116010707527648,0.0647239363876576,0.116057885114593,0.0928896437588606,0.102155317713127,0.0931596497810541,0.090359116062019,0.0212425814585483
"VXN","VXN","oligo2","blue",0.17904324529434,0.150918248580371,0.209491896946245,0.155706287648249,0.114013355363918,0.142901482396575,0.129422957525175,0.136384958643012,0.0312138046759298
"MYBL1","MYBL1","grey","grey",0.0778691859327821,0.0720471124173812,0.0605912138741147,0.0649281248976088,0.0569456049003335,0.065950988661652,0.0572358189627636,0.0685896060644764,0.0242006325482094
"VCPIP1","VCPIP1","grey","grey",0.0991488153116385,0.0849603393772811,0.0921633229708305,0.0890685331548424,0.0675555067683942,0.0815039912321004,0.0718019660563158,0.0750052255715014,0.0194626114390671
"SGK3","SGK3","oligo3","turquoise",0.39810339775195,0.372452392389745,0.217018899531051,0.434240814674761,0.330388530459029,0.343893666477991,0.375057064943757,0.284998258563576,0.051832201760932
"CSPP1","CSPP1","oligo3","turquoise",0.204507213543995,0.181557389911476,0.104572375194858,0.219653494748288,0.156989040484877,0.176695131482609,0.177810116792399,0.135662272052274,0.0310631108153209
"ARFGEF1","ARFGEF1","grey","grey",0.238664903115241,0.206075123370921,0.153832067235826,0.23325706977951,0.166340110504444,0.200518638796702,0.202062958650257,0.17689062803648,0.0389180381424948
"PREX2","PREX2","grey","grey",0.289605596598841,0.246733426801596,0.194322307265731,0.284342360979001,0.226620336543081,0.250891953384607,0.276878170855895,0.209902903316343,0.0547623762188568
"NCOA2","NCOA2","grey","grey",0.26407884124172,0.245882114110112,0.147358016345345,0.244260387792893,0.191161187272368,0.248610341127688,0.203805145790481,0.238832427698506,0.0466725048060041
