"","gene_name","module","color","kME_grey","kME_oligo1","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8","kME_oligo9","kME_oligo10"
"RPS25","RPS25","oligo1","turquoise",0.0744219354713811,0.146313927299813,0.112803559540719,0.0505807485722368,0.0510116405138138,0.0410280506227336,0.0972006739304666,0.0555152873290741,0.0615537993376939,0.0493651649388664,0.0243524183294394
"TRAPPC4","TRAPPC4","oligo2","red",0.0490349998609557,0.0957025779111733,0.122681696773295,0.03115066134134,0.0294963128667754,0.0368937503584587,0.0571232571292171,0.0252679525401077,0.0631689958787896,0.0247783228707907,0.0223509922404853
"VPS11","VPS11","grey","grey",0.0927759275290051,0.0729679871568365,0.0672795132467013,0.0819350207092522,0.0846920761985166,0.089507410051999,0.062315951403091,0.077288155463709,0.0586635142321178,0.080790981001535,0.071336445951623
"H2AFX","H2AFX","grey","grey",0.0995935060985744,0.129536672145688,0.112555674378305,0.0946989031993755,0.0781177454527715,0.0679816274572469,0.102730354724844,0.0834510203772539,0.0639816070460771,0.0848794565883188,0.0691277394196708
"HINFP","HINFP","grey","grey",0.0828172758332313,0.0599881184200611,0.0526472857067764,0.0645354165932139,0.0713128581298099,0.0638937223238144,0.0616104155455825,0.0730784069722198,0.0446254883471909,0.072518982084128,0.0515588281367732
"CBL","CBL","grey","grey",0.131477410075066,0.0757660824334312,0.0620487288466285,0.115988589841729,0.126805450852211,0.107763075160347,0.0858490445597689,0.120339286529713,0.0538804961560687,0.122255790556911,0.0907214159341394
"MCAM","MCAM","oligo5","yellow",0.122550326231826,0.113150269374547,0.132041818147991,0.0814643767002315,0.115051099989373,0.170833535929236,0.103741670709209,0.0740980807384685,0.0854361659601382,0.0829843160230198,0.0832051775676427
"USP2","USP2","grey","grey",0.101545154711442,0.0653789402127497,0.0493966099127995,0.0897464746519343,0.0937718859395147,0.0837113649488466,0.0780336242111579,0.0927378763296619,0.0422723141163248,0.0874284456200097,0.0749840129423137
"THY1","THY1","grey","grey",0.0220007461969406,0.0478042972849322,0.0338057983957672,0.0115794155803132,0.0155288121863901,0.00488411335087456,0.0507505359563818,0.0160372518184037,0.00396541063829971,0.0146752483831096,0.00111031473853816
"NECTIN1","NECTIN1","grey","grey",0.205174914695603,0.123401631567907,0.094903055790353,0.17891602226987,0.200363686462287,0.179300577144178,0.152622965887371,0.189984611249904,0.065763096992032,0.191322110857563,0.146688166765459
"OAF","OAF","grey","grey",0.100616593079528,0.0267945778308983,0.0142604213684162,0.0748753198682215,0.105895834508482,0.0878781098010038,0.0625279612019907,0.0942012993849638,0.016246355705669,0.0846171130012745,0.0589946100251087
"TMEM136","TMEM136","grey","grey",0.121474321704451,0.11588476160694,0.103212706349641,0.0980497280777516,0.106276023164886,0.0906976974703054,0.11288165048326,0.108082893361399,0.0602701170062184,0.100719500296155,0.0705915747249413
"ARHGEF12","ARHGEF12","grey","grey",0.198070820128613,0.0936694012574569,0.0635033894798314,0.145113300531923,0.194157824207949,0.14410616299506,0.1382907617583,0.197060811560954,0.0455002111861234,0.164913224249385,0.0997516696769187
"GRIK4","GRIK4","oligo5","yellow",0.226088420353186,0.0859623483923812,0.08319427128086,0.234727393238096,0.230023280243172,0.26012678092502,0.0994336643195067,0.182051732478977,0.118354687082812,0.225048348719392,0.227143276874899
"SC5D","SC5D","grey","grey",0.134676314793625,0.133598811361565,0.121376007744765,0.132476812105612,0.108871527302798,0.094133136959198,0.10856685858017,0.11418025999741,0.0935586242682831,0.119403389388938,0.100461710408066
"SORL1","SORL1","oligo3","brown",0.234661678734399,0.122123022020193,0.121172357370766,0.359429560548393,0.214415763570241,0.226163113384356,0.114558486947347,0.214459757717764,0.165572846129623,0.271768011140258,0.32531611428475
"HSPA8","HSPA8","oligo1","turquoise",0.138179146987722,0.294462343312835,0.236744059749547,0.102269931473217,0.0903599503611169,0.0537385433749701,0.200489509673847,0.11877390130755,0.108331736361176,0.0966109269053228,0.0445263797168965
"TBRG1","TBRG1","grey","grey",0.137314629150959,0.105685598326675,0.0908059257050775,0.112570882237733,0.121321878265165,0.105508025960963,0.103968084214617,0.120098269112294,0.0698640187360841,0.115100096929646,0.0897986575040661
"SIAE","SIAE","grey","grey",0.0728681867634635,0.074754397965048,0.0673116042973091,0.0692004355955554,0.0604253683892592,0.0624132857313499,0.0574394688462811,0.055386530319599,0.0532438775463307,0.0598589938869011,0.0593362970402583
"NRGN","NRGN","grey","grey",-0.0107677813017021,0.00686558016857818,0.00667056278997735,-0.00995702964965506,-0.0162393859222709,-0.00656156814424676,0.00948525784450322,-0.020258635425524,0.00202430265839438,-0.0115674203211245,-0.00291141557793779
"MSANTD2","MSANTD2","grey","grey",0.179624725739153,0.0814998085464672,0.0628778929736627,0.15217804825154,0.176995973900005,0.15381190192904,0.0991655448079657,0.170146735141875,0.0603143699964894,0.161939523666235,0.123970942375134
