"gene_name","module","color","kME_grey","kME_micro1","kME_micro2","kME_micro3","kME_micro4","kME_micro5","kME_micro6"
"TMEM38B","micro3","blue",0.00964070790217962,-0.00625907944349357,0.0054687331949379,0.0220531260631767,-0.0199060384775299,0.0430161277516957,0.0263470933246823
"LPAR1","micro1","turquoise",0.214582005382777,0.302802857525897,0.0682247648247728,0.0989679005739465,0.185279040534591,0.223035738445565,-0.0169775887289257
"AL162414.1","micro1","turquoise",0.184688355081071,0.303207199919277,0.0056268440215663,0.039797407967771,0.1707158560998,0.212811458170954,-0.0295366924909101
"ZNF483","micro2","brown",0.0925617447336282,0.0663656565785054,0.121236570557446,0.0766990645034297,0.0954613774829548,0.0187411326658054,0.0652123236884533
"C9orf84","micro2","brown",0.243948227116167,0.0251143178524128,0.403852715589996,0.251539094897155,0.282109999407606,-0.0289170913005647,0.279309211229505
"UGCG","micro3","blue",0.124968423254831,0.0703602644015926,0.0813644386149289,0.27545101026635,0.0438779662364806,0.213709461291836,0.126236002156153
"SUSD1","micro3","blue",0.0186844370331361,-0.00433218598613167,-0.0304406709520334,0.161991295525864,-0.041388648949466,0.138905590190349,0.0587601821347283
"HSDL2","micro1","turquoise",0.170623718598563,0.193445406986613,0.0912771305640734,0.0720697332919684,0.137004901338824,0.129720796911926,0.0282263605140253
"SNX30","micro1","turquoise",0.240008804927149,0.323168673131821,0.107633027983199,0.0853681343365925,0.2115787493335,0.254529508127029,0.0571709121517602
"ZNF618","micro1","turquoise",0.23216066773795,0.251846974036323,0.151917110371414,0.0831806457370136,0.210275373783371,0.153373035807843,0.0524006297970461
"AKNA","micro1","turquoise",0.285470938060811,0.371194731639026,0.110926913408374,0.116817759473534,0.230160356806086,0.256394056221702,0.0716319761886225
"ATP6V1G1","micro2","brown",0.0791240971632025,0.0435805545602991,0.122091681558967,0.0574364889983892,0.0761085984094878,-0.00951531754353851,0.0792914544513125
"TMEM268","micro1","turquoise",0.0968860205505242,0.16618879003222,0.0277861015856846,0.00173315653075096,0.0804450381292011,0.0969528867054925,0.00545354812731972
"TNFSF8","micro1","turquoise",0.110663250635256,0.156869733241976,0.0435204535086341,0.0394334046910158,0.0993011649292131,0.101303692149379,0.0100650090583431
