"gene_name","module","color","kME_grey","kME_micro1","kME_micro2","kME_micro3","kME_micro4","kME_micro5","kME_micro6","kME_micro7","kME_micro8","kME_micro9","kME_micro10","kME_micro11","kME_micro12","kME_micro13","kME_micro14","kME_micro15"
"SYPL1","micro5","blue",0.0604778354198568,0.0742023037050568,0.0301540543770907,0.0493691221423961,0.0242881115087457,0.110409236112236,0.155483723449062,0.0235552176171067,0.0499821558237746,-0.016591946871076,0.0384810282987246,0.0646141176527416,0.038962638180281,0.0321610552834167,0.0316341379444771,0.0205399107251649
"NAMPT","micro8","turquoise",0.217280052789954,0.0464178645369722,0.292393253148516,0.19107826218579,0.164170018669936,0.221880900221646,0.0381422227544929,0.105615586343256,0.426626185644632,-0.0576166796858733,0.0340494423947175,0.193224233623386,0.116052490823248,0.0426684874613455,0.0117195616892514,0.00100896805389483
"PRKAR2B","micro8","turquoise",0.0876072380649668,0.0765633604520379,0.119684312405255,0.0413601919296306,0.0455575274755428,0.0988642337141621,0.0465022507820642,0.0361479785774464,0.153323304590244,-0.035090538775955,0.00338786188261274,0.0692932968333802,0.0304414333784584,-0.0139747934005973,0.0129148287345238,-0.00265801465974849
"HBP1","micro2","red",0.253738634422074,0.116691190286996,0.329329574118236,0.136940127835909,0.15864506459026,0.191496437981618,0.0777423560960487,0.180617407389145,0.2884580903348,0.0861965732719568,0.0628787645663863,0.156901822266012,0.19048571547895,0.0607182270738393,0.155091574914165,0.0469864314183061
"COG5","micro8","turquoise",0.375117451213392,0.0906114996278896,0.375412908586986,0.214673793800366,0.288215884847042,0.337750314735024,0.0805320533618857,0.318580632871999,0.44008794393403,0.21459678964696,0.221961833866065,0.20534054221932,0.312894564684629,0.184195251721351,0.189416293911746,0.0979006292109407
"BCAP29","micro2","red",0.118795309239027,0.080195990458635,0.11525440689485,0.075432209096405,0.098553681725754,0.1016893918267,0.0716022145366316,0.0982852527455478,0.107539582680389,0.0727669175613898,0.0372702864922532,0.0676641348923211,0.0826600787465522,0.0656115590060862,0.0993213436380139,0.041614744395479
"SLC26A3","micro2","red",0.142559489622759,0.0227640003492684,0.191269947950683,0.107774037725937,0.126526502081896,0.0783209018711391,-0.0337966782235764,0.0908181288483738,0.188555646680138,0.0466955958981868,0.0552063636306572,0.105227308421627,0.10908852467183,0.0534409414355283,0.0838058696025757,0.0494428657852468
"IMMP2L","micro9","yellow",0.248867624891353,-0.00203971820921536,0.211797450047647,0.128366768811596,0.236603184278839,0.191705391896318,-0.0300377934754212,0.220898961706047,0.248543029624871,0.224391424829301,0.246174757298164,0.182670265083825,0.247295200724713,0.11351561329208,0.12107490356693,0.0926002426134176
"DOCK4","micro7","magenta",0.488556117242891,0.0110847804897588,0.387158973991544,0.276098237584805,0.314845351715374,0.417603051808654,0.0884324051798951,0.508706221401001,0.446891410970615,0.494896327415379,0.347574024873967,0.277127491127837,0.464497738505901,0.247899763035961,0.330663136366748,0.203691432815722
"IFRD1","micro8","turquoise",0.178714812162063,0.0778251696809536,0.223310347490403,0.189490107132485,0.14858405677394,0.141445620417554,0.0612745696777243,0.0824787441317741,0.272094754396613,0.0465399352019999,0.0755989278419921,0.127156494911301,0.161541549743586,0.0752691568415416,0.0755681650708061,0.042378444897259
